Weapon,Picture,Weapon Type,Attack Type,Base Dmg,Cooldown Stat,Base Range,Recoil Duration,Base Crit Chance,Crit Multiplier,Amount of Projectiles,Bounces,Bounce Damage Falloff,Amount of Pierces,Base Pierce Damage Falloff,Extra Hits on Crit,Reload every x Shots,Reload Multiplier,Base Burn Damage,Burn Ticks,Base Spawn Dmg,Spawned Projectiles,Spawn Base Bounces,Spawn Base Bounce Falloff,Spawn Base Piercing,Spawn Base Piercing Falloff,Spawn Crit Mult,Spawn Base Crit Chance,Spawn Scaling,Spawn Stat,1 Flat Scaling,2 Flat Scaling,3 Flat Scaling,Special Stat Name,Prim Stat,Prim Stat Multiplier,2 Scaling Stat,2 Scaling Stat Multiplier,3 Scaling Stat,3 Scaling Stat Multiplier,Projectile Speed,Knock- back,Accuracy,Projectile Spread,Base Price,Explosion Chance,Explosion Size,Hitbox X,Hitbox Y,Weapon Note
Circular Saw 3,,Melee,Swing,15,5,175,0.1,0.1,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,0,1,0,86,0,0,56,24.5,
Circular Saw 4,,Melee,Swing,25,2,175,0.1,0.2,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,0,1,0,173,0,0,56,24.5,
Claw 1,,Melee,Thrust,5,13,150,0.1,0.1,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.15,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,2,1,0,15,0,0,60,20,
Claw 2,,Melee,Thrust,10,11,150,0.1,0.15,2.15,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,2,1,0,28,0,0,60,20,
Claw 3,,Melee,Thrust,15,8,150,0.1,0.2,2.3,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.25,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,2,1,0,55,0,0,60,20,
Claw 4,,Melee,Thrust,25,3,150,0.1,0.25,2.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.3,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,2,1,0,110,0,0,60,20,
Crossbow 1,,Ranged,Projectile,10,50,350,0.15,0.3,1.5,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Range_Stat,1.0,,1.0,3000,8,1,0,16,0,0,Ranged,Ranged,"Powerful weapon, but it struggles to get going. Stack Range instead of Ranged Damage. Crit is important. %dmg and Attack Speed are important as usual."
Crossbow 2,,Ranged,Projectile,12,50,350,0.15,0.35,1.75,1,0,0.5,0,0,2,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Range_Stat,1.0,,1.0,3000,8,1,0,34,0,0,Ranged,Ranged,"Powerful weapon, but it struggles to get going. Stack Range instead of Ranged Damage. Crit is important. %dmg and Attack Speed are important as usual."
Crossbow 3,,Ranged,Projectile,15,50,350,0.15,0.4,2,1,0,0.5,0,0,3,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Range_Stat,1.0,,1.0,3000,8,1,0,62,0,0,Ranged,Ranged,"Powerful weapon, but it struggles to get going. Stack Range instead of Ranged Damage. Crit is important. %dmg and Attack Speed are important as usual."
Crossbow 4,,Ranged,Projectile,18,50,350,0.15,0.45,2.25,1,0,0.5,0,0,4,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Range_Stat,1.0,,1.0,3000,8,1,0,132,0,0,Ranged,Ranged,"Powerful weapon, but it struggles to get going. Stack Range instead of Ranged Damage. Crit is important. %dmg and Attack Speed are important as usual."
DEX-troyer 4,,Melee,Thrust,100,30,400,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,30,1,4,0,0,0.5,2,0.03,1,0,1,1,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee / 3000,10,1,0,315,0.5,1.25,147,24.5,
Double Barrel Shotgun 1,,Ranged,Projectile,3,70,350,0.1,0.03,2,4,0,0.5,2,0.3,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,8,0.9,0.5,20,0,0,Ranged,Ranged,
Double Barrel Shotgun 2,,Ranged,Projectile,6,65,350,0.1,0.03,2,4,0,0.5,2,0.3,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.85,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,8,0.95,0.5,39,0,0,Ranged,Ranged,
Double Barrel Shotgun 3,,Ranged,Projectile,9,60,350,0.1,0.03,2,4,0,0.5,2,0.3,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.9,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,8,1,0.5,74,0,0,Ranged,Ranged,
Double Barrel Shotgun 4,,Ranged,Projectile,9,60,350,0.1,0.03,2,6,0,0.5,3,0.3,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,8,1,0.5,149,0,0,Ranged,Ranged,
Drill 4,,Melee,Thrust,10,2,100,0.01,0.5,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,5,1,0,250,0,0,80.5,24,"The Attack Speed bonus increases your actual attack speed stat, affecting all weapons. Watch out for the low base range."
Excalibur 4,,Melee,Swing,200,3,200,0.1,0.1,2.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,2,2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Max_HP,1.0,,1.0,Melee,5,1,0,230,0,0,112,32,
Fireball 2,,Ranged,Projectile,5,55,400,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,3,5,0,0,0,0.5,0,0.5,2,0.03,0,0,0.25,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,1500,0,0.9,0,36,1,1,Ranged,Ranged,Applies burn to each enemy hit by the explosion.
Fireball 3,,Ranged,Projectile,10,50,450,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,4,6,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,1500,0,0.95,0,66,1,1,Ranged,Ranged,Applies burn to each enemy hit by the explosion.
Fireball 4,,Ranged,Projectile,20,40,500,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,5,8,0,0,0,0.5,0,0.5,2,0.03,0,0,0.75,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,1500,0,1,0,140,1,1,Ranged,Ranged,Applies burn to each enemy hit by the explosion.
Fist 1,,Melee,Thrust,8,13,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,15,1,0,10,0,0,48,20,
Fist 2,,Melee,Thrust,16,10,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,15,1,0,22,0,0,48,20,
Fist 3,,Melee,Thrust,32,8,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,15,1,0,45,0,0,48,20,
Fist 4,,Melee,Thrust,64,2,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,15,1,0,91,0,0,48,20,
Flamethrower 2,,Ranged,Projectile,1,5,250,0.02,0,2,1,0,0.5,0,1,0,0,0,3,5,0,0,0,0.5,0,0.5,2,0.03,0,0,0.01,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,"800, Scales with range",0,0.6,0,56,0,0,Ranged,Ranged,"Special Projectile - the projectile speed scales with your range, giving it a timed life. Doesn't function well with bounce."
Flamethrower 3,,Ranged,Projectile,1,5,300,0.02,0,2,1,0,0.5,0,1,0,0,0,4,6,0,0,0,0.5,0,0.5,2,0.03,0,0,0.01,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,"800, Scales with range",0,0.6,0,103,0,0,Ranged,Ranged,"Special Projectile - the projectile speed scales with your range, giving it a timed life. Doesn't function well with bounce."
Flamethrower 4,,Ranged,Projectile,1,3,400,0.02,0,2,1,0,0.5,0,1,0,0,0,6,8,0,0,0,0.5,0,0.5,2,0.03,0,0,0.01,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,"800, Scales with range",0,0.6,0,207,0,0,Ranged,Ranged,"Special Projectile - the projectile speed scales with your range, giving it a timed life. Doesn't function well with bounce."
Flaming Brass Knuckles 2,,Melee,Thrust,20,10,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,10,5,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,15,1,0,46,0,0,64,24,"Note the bigger hitbox compared to fist and powerfist. The weapon itself doesn't scale with elemental, only the burn does. It is the only elemental weapon to do this. "
Flaming Brass Knuckles 3,,Melee,Thrust,40,8,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,15,6,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,15,1,0,86,0,0,64,24,"Note the bigger hitbox compared to fist and powerfist. The weapon itself doesn't scale with elemental, only the burn does. It is the only elemental weapon to do this. "
Flaming Brass Knuckles 4,,Melee,Thrust,80,2,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,18,7,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,15,1,0,173,0,0,64,24,"Note the bigger hitbox compared to fist and powerfist. The weapon itself doesn't scale with elemental, only the burn does. It is the only elemental weapon to do this. "
Gatling Laser 4,,Ranged,Projectile,10,2,500,0.02,0.1,3,1,0,0.5,3,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,5,0.75,0,290,0,0,Ranged,Ranged,
Ghost Axe 1,,Melee,Swing,12,67,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,20,0,0,88,32,
Ghost Axe 2,,Melee,Swing,18,63,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,39,0,0,88,32,
Ghost Axe 3,,Melee,Swing,24,57,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,74,0,0,88,32,
Ghost Axe 4,,Melee,Swing,40,54,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,149,0,0,88,32,
Ghost Flint 1,,Melee,Thrust,6,40,170,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,12,0,0,72,16,
Ghost Flint 2,,Melee,Thrust,9,36,180,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,26,0,0,72,16,
Ghost Flint 3,,Melee,Thrust,12,31,190,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,52,0,0,72,16,
Ghost Flint 4,,Melee,Thrust,20,27,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,105,0,0,72,16,
Ghost Scepter 1,,Ranged,Projectile,10,47,300,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,2,1,0,15,0,0,Ranged,Ranged,
Ghost Scepter 2,,Ranged,Projectile,15,44,350,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,2,1,0,31,0,0,Ranged,Ranged,
Ghost Scepter 3,,Ranged,Projectile,20,41,400,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,2,1,0,61,0,0,Ranged,Ranged,
Ghost Scepter 4,,Ranged,Projectile,30,38,450,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,2,1,0,122,0,0,Ranged,Ranged,
Hammer 2,,Melee,Swing,40,63,175,0.1,0.03,1.75,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,30,1,0,51,0,0,80,32, Has 10% Knockback Piercing. Gives +2 Knockback
Hammer 3,,Melee,Swing,75,58,175,0.1,0.03,1.75,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.75,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,40,1,0,95,0,0,80,32, Has 15% Knockback Piercing. Gives +4 Knockback
Hammer 4,,Melee,Swing,120,54,175,0.1,0.03,1.75,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,2,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,50,1,0,190,0,0,80,32, Has 20% Knockback Piercing. Gives +6 Knockback
Hand 1,,Melee,Thrust,1,27,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,30,1,0,10,0,0,48,24,Gives +3 Harvesting
Hand 2,,Melee,Thrust,1,22,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,30,1,0,22,0,0,48,24,Gives +6 Harvesting
Hand 3,,Melee,Thrust,1,18,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,30,1,0,45,0,0,48,24,Gives +12 Harvesting
Hand 4,,Melee,Thrust,1,9,150,0.1,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,30,1,0,91,0,0,48,24,Gives +25 Harvesting
Hatchet 1,,Melee,Swing,7,9,125,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,0.2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,2,1,0,10,0,0,74,28,
Hatchet 2,,Melee,Swing,11,8,125,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,0.2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,2,1,0,22,0,0,74,28,
Hatchet 3,,Melee,Swing,22,7,125,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,0.2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,2,1,0,45,0,0,74,28,
Hatchet 4,,Melee,Swing,45,6,125,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,0.2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,2,1,0,91,0,0,74,28,
Jousting Lance 1,,Melee,Thrust,20,55,250,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.3,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,20,0,0,140,16,
Jousting Lance 2,,Melee,Thrust,25,50,250,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.35,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,36,0,0,140,16,
Jousting Lance 3,,Melee,Thrust,30,45,250,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.4,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,72,0,0,140,16,
Jousting Lance 4,,Melee,Thrust,50,40,250,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.5,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,132,0,0,140,16,
Knife 1,,Melee,Thrust,9,27,150,0.1,0.2,2.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,10,0,0,72,16,
Knife 2,,Melee,Thrust,13,22,150,0.1,0.3,3,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,22,0,0,72,16,
Knife 3,,Melee,Thrust,18,18,150,0.1,0.4,3.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,45,0,0,72,16,
Knife 4,,Melee,Thrust,25,13,150,0.1,0.5,4,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,91,0,0,72,16,
Icicle 1,,Ranged,Projectile,10,50,400,0.1,0.05,2,1,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,5,0.85,0,15,0,0,Ranged,Ranged,
Icicle 2,,Ranged,Projectile,20,45,400,0.1,0.1,2,1,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,5,0.9,0,36,0,0,Ranged,Ranged,
Icicle 3,,Ranged,Projectile,30,40,400,0.1,0.15,2.5,1,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,5,0.9,0,66,0,0,Ranged,Ranged,
Icicle 4,,Ranged,Projectile,40,30,400,0.1,0.2,3,1,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,5,1,0,140,0,0,Ranged,Ranged,
Laser Gun 1,,Ranged,Projectile,40,95,500,0.2,0.03,2,1,0,0.5,1,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,4,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,0,1,0,15,0,0,Ranged,Ranged,
Laser Gun 2,,Ranged,Projectile,55,90,500,0.2,0.03,2,1,0,0.5,1,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,4.5,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,0,1,0,31,0,0,Ranged,Ranged,
Laser Gun 3,,Ranged,Projectile,70,85,500,0.2,0.03,2,1,0,0.5,1,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,5,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,0,1,0,61,0,0,Ranged,Ranged,
Laser Gun 4,,Ranged,Projectile,100,75,500,0.2,0.03,2,1,0,0.5,1,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,6,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,0,1,0,122,0,0,Ranged,Ranged,
